"","Parameter","If other","Unit","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Inoculated / Contact","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Remarks","Reference","doi","Filled in by:"
"11","Shape",NA,"Latent period shape (kE)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,19.9,5.5,39.7,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"12","Shape",NA,"Latent period shape (kE)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,22.5,6.7,43,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"13","Shape",NA,"Latent period shape (kE)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,17.8,4.7,37.6,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"14","Shape",NA,"Latent period shape (kE)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,22,6.8,42.6,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"15","Shape",NA,"Latent period shape (kE)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,19.9,5.5,41.2,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"16","Shape",NA,"Latent period shape (kE)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,29.8,11.2,51.5,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"17","Shape",NA,"Latent period shape (kE)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,28.1,11.3,50,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"18","Shape",NA,"Latent period shape (kE)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,18.9,4.8,40.5,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"19","Shape",NA,"Infectious period shape (kI)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,22,6.3,45,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"20","Shape",NA,"Infectious period shape (kI)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,20.3,5.4,41.5,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"21","Shape",NA,"Infectious period shape (kI)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,22.2,6.2,44.5,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"22","Shape",NA,"Infectious period shape (kI)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,20,4.7,43.6,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"23","Shape",NA,"Infectious period shape (kI)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,21.5,5.9,43.5,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"24","Shape",NA,"Infectious period shape (kI)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,21.1,5.3,43.5,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"25","Shape",NA,"Infectious period shape (kI)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,23.4,7.9,46.9,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"26","Shape",NA,"Infectious period shape (kI)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,24.8,9,47.8,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"27","Shape",NA,"Infectious period shape (kI)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,20.3,4.8,43.6,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"28","Latent period",NA,NA,"Review","African Swine Fever","Genotype I","Pigs",NA,NA,NA,NA,NA,NA,3.57,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Loi, et al. 2020",NA,"AA"
"29",NA,NA,NA,"Review","African Swine Fever","Malta 1978","Pigs",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models",NA,NA,"AA"
"30","Latent period",NA,NA,"Review","African Swine Fever","Netherlands 1986","Pigs",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Ferreira et al., 2013",NA,"AA"
"31","Latent period",NA,NA,"Review","African Swine Fever","Georgia 2007/1","Pigs",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Ferreira et al., 2013",NA,"AA"
"32","Latent period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2016",NA,"AA"
"33","Shape","gamma",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,4.5,10,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models",NA,NA,"AA"
"34","Shape","gamma",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,2,10,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Hu et al., 2017",NA,"AA"
"35","Latent period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,3,5,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Nielsen et al., 2016",NA,"AA"
"36","Latent period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2016",NA,"AA"
"37","Shape","gamma",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,4.5,10,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models",NA,NA,"AA"
"38","Shape","gamma",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,2,10,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Hu et al., 2017",NA,"AA"
"39",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,3,5,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Nielsen et al., 2016",NA,"AA"
"40","Shape","gamma",NA,"Review","African Swine Fever","Armenia 2008","Pigs",NA,NA,NA,NA,NA,NA,NA,6.25,10,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2018",NA,"AA"
"41","Shape","gamma",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,19.39,5,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2018",NA,"AA"
"42","Latent period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Pietschmann et al., 2015",NA,"AA"
"43","Infectious period",NA,NA,"Review","African Swine Fever","Genotype I","Pigs",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Loi, et al. 2020",NA,"AA"
"44","Infectious period",NA,NA,"Review","African Swine Fever","Genotype I","Pigs",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Loi, et al. 2020",NA,"AA"
"45","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Ferreira et al., 2013",NA,"AA"
"46","Infectious period",NA,NA,"Review","African Swine Fever","Malta 1978","Pigs",NA,NA,NA,NA,NA,NA,33.6,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Ferreira et al., 2013",NA,"AA"
"47","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Ferreira et al., 2013",NA,"AA"
"48","Infectious period",NA,NA,"Review","African Swine Fever","Netherlands 1986","Pigs",NA,NA,NA,NA,NA,NA,19.9,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Ferreira et al., 2013",NA,"AA"
"49","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2016",NA,"AA"
"50","Infectious period",NA,NA,"Review","African Swine Fever","Georgia 2007/1","Pigs",NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2016",NA,"AA"
"51","Shape","gamma",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,10,6,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Hu et al., 2017",NA,"AA"
"52","Shape","gamma",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,19.3,2,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Hu et al., 2017",NA,"AA"
"53","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Nielsen et al., 2016",NA,"AA"
"54","Shape","gamma",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2016",NA,"AA"
"55","Shape","gamma",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2016",NA,"AA"
"56","Shape","gamma",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,10,6,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Hu et al., 2017",NA,"AA"
"57","Shape","gamma",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,19,3.2,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Hu et al., 2017",NA,"AA"
"58","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Nielsen et al., 2016",NA,"AA"
"59","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Gulenkin et al., 2011",NA,"AA"
"60","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Gulenkin et al., 2011",NA,"AA"
"61","Shape","gamma",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,9.12,10,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2018",NA,"AA"
"62","Shape","gamma",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,22.2,5,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2018",NA,"AA"
"63","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Gulenkin et al., 2011",NA,"AA"
"64","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Gulenkin et al., 2011",NA,"AA"
"65","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Pietschmann et al., 2015",NA,"AA"
"66","Infectious period",NA,NA,"Review","African Swine Fever","Armenia 2008","Pigs",NA,NA,NA,NA,NA,NA,9,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Pietschmann et al., 2015",NA,"AA"
"67","Infectious period",NA,NA,"Review","African Swine Fever","Genotype IX","Pigs",NA,NA,NA,NA,NA,NA,30,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Barongo et al., 2015",NA,"AA"
"68","Latent period",NA,"days","Field","Avian Influenza","H5N2","Turkeys",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14675","AA"
"69","Latent period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14676","AA"
"70","Latent period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14677","AA"
"71","Latent period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14678","AA"
"72","Latent period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14679","AA"
"73","Latent period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14680","AA"
"74","Latent period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Ssematimba et al.","https://doi.org/10.1111%2Ftbed.14681","AA"
"75","Latent period",NA,"days","Experimental","Avian Influenza","H5N1","Ducks",NA,NA,NA,NA,NA,NA,1.73,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Niqueux et al.","https://doi.org/10.1111%2Ftbed.14685","AA"
"76","Latent period",NA,"days","Experimental","Avian Influenza","H5N2","Ducks",NA,NA,NA,NA,NA,NA,2.267,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Niqueux et al.","https://doi.org/10.1111%2Ftbed.14686","AA"
"77","Latent period",NA,"days","Experimental","Avian Influenza","H5N3","Ducks",NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Niqueux et al.","https://doi.org/10.1111%2Ftbed.14687","AA"
"78","Latent period",NA,"days","Experimental","Avian Influenza","H7N1","Turkeys",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Saenz et al.","https://doi.org/10.1111%2Ftbed.14688","AA"
"79","Latent period",NA,"days","Experimental","Avian Influenza","H7N1","Turkeys",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Saenz et al.","https://doi.org/10.1111%2Ftbed.14689","AA"
"80","Latent period",NA,"days","Field","Avian Influenza","H7N1, H7N3","Turkeys",NA,NA,NA,NA,NA,NA,2.9,2.4,3.4,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Comin et al.","https://doi.org/10.1111%2Ftbed.14690","AA"
"81","Latent period",NA,"days","Field","Avian Influenza","H7N1, H7N3","Turkeys",NA,NA,NA,NA,NA,NA,8.6,3.8,33.8,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Comin et al.","https://doi.org/10.1111%2Ftbed.14691","AA"
"82","Latent period",NA,"days","Field","Avian Influenza","H7N7","Poultry",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bos et al.","https://doi.org/10.1111%2Ftbed.14706","AA"
"83","Latent period",NA,"days","Field","Avian Influenza","H7N1","Turkeys",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bos et al.","https://doi.org/10.1111%2Ftbed.14708","AA"
"84","Latent period",NA,"days","Field","Avian Influenza","H7N1","Chickens, broilers",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Bos et al.","https://doi.org/10.1111%2Ftbed.14709","AA"
"85","Latent period",NA,"days","Field","Avian Influenza","H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review","Marquetoux et al.","https://doi.org/10.1111%2Ftbed.14710","AA"
