"","Parameter","If other","Unit","Type of infectious disease model","Mixing","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Seeder / Inoculated vaccinated","Contact vaccinated","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Estimation method","Remarks","Reference","doi","Filled in by:","ParameterType","Inoculated / Contact","Material","Test Type","study","Type of sample","Type of study","Time period","Country","Sampling purpose","Information level","Control pogramm in place","Type of programme","Coverage (regional/national)","Country status for the disease","Control plan type","Last updated","Link","Type","Table","Term","Explanation...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","Explanation...59","Denote major changes to the template in this sheet","...61","...62","Transmission Parameters","Latent/incubation","Pathogen Survival","Diagnostic","Within Herd prevalence","Regional Prevalence","Control Programme"
"11","Transmission parameter",NA,NA,"SLI-SC",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,"n this paper, a mathematical model for African swine fever is modified by considering the swine farm with the contaminated human vector that is able to infect and spread the disease among swine farms.","Chuchard et al., 2022","https://doi.org/10.3390/axioms11070329","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Other","contact rate","𝜌","SLI-SC",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,"n this paper, a mathematical model for African swine fever is modified by considering the swine farm with the contaminated human vector that is able to infect and spread the disease among swine farms.","Chuchard et al., 2022","https://doi.org/10.3390/axioms11070329","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Other","contact rate","𝜌","SLI-SC",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,"n this paper, a mathematical model for African swine fever is modified by considering the swine farm with the contaminated human vector that is able to infect and spread the disease among swine farms.","Chuchard et al., 2022","https://doi.org/10.3390/axioms11070329","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Transmission parameter","contamined pig products",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,3.8024e-11,NA,NA,NA,NA,"To investigate the effect of culling on the African Swine FeverV transmission in China, we formulate the nonlinear dynamic model of African Swine Fever with culling. The basic reproduction number is computed, and we investigate the nonlinear dynamic behaviors of the system. The uniform persistence of the system is proved. For the African Swine Fever model without culling, Lyapunov functions are used to show that the disease free equilibrium is globally asymptotically stable when the basic reproduction number is less than one, and the unique endemic equilibrium is globally asymptotically stable when the basic reproduction number is greater than one.","Song et al., 2023","https://doi.org/10.1016/j.cnsns.2022.106915","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Transmission parameter","direct contact",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,5.4646e-10,NA,NA,NA,NA,"To investigate the effect of culling on the African Swine FeverV transmission in China, we formulate the nonlinear dynamic model of African Swine Fever with culling. The basic reproduction number is computed, and we investigate the nonlinear dynamic behaviors of the system. The uniform persistence of the system is proved. For the African Swine Fever model without culling, Lyapunov functions are used to show that the disease free equilibrium is globally asymptotically stable when the basic reproduction number is less than one, and the unique endemic equilibrium is globally asymptotically stable when the basic reproduction number is greater than one.","Song et al., 2023","https://doi.org/10.1016/j.cnsns.2022.106915","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Basic reproduction number",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,16.2,4.3,41.7,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Basic reproduction number",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,6.7,1.9,32.3,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Basic reproduction number",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,17.3,3.5,45.5,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Basic reproduction number",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,4.4,2,13.4,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Basic reproduction number",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,12.2,3.5,40.5,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Basic reproduction number",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,15.9,4.5,58.7,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Basic reproduction number",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,6.9,3.7,41.3,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Basic reproduction number",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,12.6,3.7,23.7,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Basic reproduction number",NA,NA,NA,NA,"Review","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,5.6,2.4,18.4,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Transmission parameter",NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5,4.8,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12740","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Transmission parameter",NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3,4,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12741","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Transmission parameter",NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,0.5,5.3,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12742","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Transmission parameter",NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.3,1.6,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12743","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Transmission parameter",NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.5,5.1,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12744","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Transmission parameter",NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,0.7,6.1,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12745","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Transmission parameter",NA,NA,NA,NA,"Review","African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.7,6.4,"Bayesian",NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12746","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
