"","Parameter","Pathogen","Host","Host type","Host breed","Host Age (group)","Host  other characterics","Type of study","Time period","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"23","Within herd prevalence","Campylobacter","Poultry",NA,NA,NA,NA,"Survey","1999-2000",0.409,NA,NA,"From February 1999 to February 2000, 1250 individual broiler chickens representing 125 broiler flocks originating from 62 broiler farms in Denmark were screened for campylobacter carriage.Campylobacter spp. carriage was detected from 512 (40·9%) broiler chickens originating from 63 (50·4%) positive flocks.","Bang et al., 2003","doi:10.1017/S095026880200821X","AA"
"24","Within herd prevalence","Coxiella burnetii","Cattle; small ruminants",NA,NA,NA,NA,"Review","1995 (Czechia)",0.043,NA,NA,"The objective of this study was to conduct a critical review of the literature focused on the prevalence of C. burnetii infection at animal, herd and within-herd levels in cattle, goat and sheep. A qualitative assessment of the 69 selected publications, based on the analysis of the sampling frame and testing procedures, was also performed.","Guatteo et al., 2011","https://doi.org/10.1016/j.vetmic.2010.10.007","AA"
"25","Within herd prevalence","Coxiella burnetii","Cattle; small ruminants",NA,NA,NA,NA,"Review","2006 (France)",0.185,NA,NA,"The objective of this study was to conduct a critical review of the literature focused on the prevalence of C. burnetii infection at animal, herd and within-herd levels in cattle, goat and sheep. A qualitative assessment of the 69 selected publications, based on the analysis of the sampling frame and testing procedures, was also performed.","Guatteo et al., 2011","https://doi.org/10.1016/j.vetmic.2010.10.007","AA"
"26","Within herd prevalence","Coxiella burnetii","Cattle; small ruminants",NA,NA,NA,NA,"Review","2007 (France)",0.389,NA,NA,"The objective of this study was to conduct a critical review of the literature focused on the prevalence of C. burnetii infection at animal, herd and within-herd levels in cattle, goat and sheep. A qualitative assessment of the 69 selected publications, based on the analysis of the sampling frame and testing procedures, was also performed.","Guatteo et al., 2011","https://doi.org/10.1016/j.vetmic.2010.10.007","AA"
"27","Within herd prevalence","Coxiella burnetii","Sheep","Dairy",NA,NA,NA,"Survey","2005",0.089,NA,NA,"To estimate the prevalence of Coxiella burnetii in the dairy sheep population from the Basque Country (northern Spain), a study was carried out combining molecular and serological techniques. First, bulk-tank milk samples from 154 flocks belonging to the Latxa Breed Farmers Association were analyzed by PCR, with 22% of flocks testing positive for C. burnetii. Then, a selection of 34 flocks (7 PCR positive and 17 negative) was investigated for the presence of serum antibodies by ELISA test on 1,011 ewes (approximately 30 ewes per flock). A total of 8.9% of the animals were seropositive, 67.6% of the flocks had at least one seropositive animal, but only in 14.7% of them was seroprevalence greater than 25%.","Garcia-Perez et al., 2009","https://doi.org/10.3168/jds.2008-1672","AA"
"28","Within herd prevalence","Coxiella burnetii","Cattle","Dairy",NA,NA,NA,"Survey","2005-2006",0.148,NA,NA,"sero-prevalence in Bavarian cattle (1) and sero-prevalences for age-groups (2) were determined by ELISA (CHEKIT Q-Fever; mix of PhI/PhII-antigen). Subsequently, phase-specific antigens were coated onto ELISA plates individually and tests were simultaneously applied in an endemically infected herd with about 90 dairy cows and 250 calves/heifers in April 2005, March 2006 and retrospectively in May and October 2004. From April 2005 onward, placentas were analysed for C. burnetii by PCR (3).","Bottcher et al., 2011","https://doi.org/10.1016/j.vetmic.2011.03.007","AA"
"29","Within herd prevalence","Coxiella burnetii","Cattle","Dairy",NA,NA,NA,"Survey","<2009",0.062,NA,NA,"A total of 5182 animals (from a stratified systematic random sample of 273 herds) were tested with a commercial C. burnetii phase 2 IgG ELISA. A total of 6·2% of animals and 48·4% of herds tested positively.","McCaughey et al., 2009","https://doi.org/10.1017/S0950268809002854","AA"
"30","Within herd prevalence","Coxiella burnetii","Small ruminants",NA,NA,NA,NA,"Survey","2011",0.096,0.069,0.122,"A cross-sectional study was designed to investigate the exposure to C. burnetii in sheep and goats in the Central region of Portugal, estimating the herd and individual prevalence. A serosurvey was conducted in a two levels random sampling of 89 herds and 460 animals.Results showed a global herd prevalence of 32.6% (95% CI: 23.1–42.1%). Herd prevalence was higher in mixed herds (38.5%; 95% CI: 12–65%) and in sheep herds (37.5%; 95% CI: 21–54%) than in goat herds (28.8%; 95% CI: 17–41%). Global individual prevalence was estimated at 9.6% (95% CI: 6.9–12.2%), and it was higher in goats (10.4%; 95% CI: 7.8–13%) than in sheep (8.6%; 95% CI: 5.8–11.4%).","Anastacio et al., 2013","https://doi.org/10.1016/j.vetmic.2013.08.004","AA"
"31","Within herd prevalence","Coxiella burnetii","Cattle",NA,NA,NA,NA,"Survey","2012-2015",0.222,0.2,0.243,"A study was carried out, from 2012 to 2015, in 10 French départements to estimate the serological prevalence of Q fever and the frequency of abortive episodes potentially related to Coxiella burnetii in a large sample of cattle, sheep and goat herds. The serological survey covered 731 cattle, 522 sheep and 349 goat herds, randomly sampled. The frequency of abortive episodes potentially related to C. burnetii was estimated by investigating series of abortions in 2695 cattle, 658 sheep and 105 goat herds using quantitative polymerase chain reaction analyses and complementary serological results when needed.","Gache et al., 2017","doi:10.1017/S0950268817002308","AA"
"32","Within herd prevalence","Coxiella burnetii","Sheep",NA,NA,NA,NA,"Survey","2012-2015",0.257,0.234,0.279,"A study was carried out, from 2012 to 2015, in 10 French départements to estimate the serological prevalence of Q fever and the frequency of abortive episodes potentially related to Coxiella burnetii in a large sample of cattle, sheep and goat herds. The serological survey covered 731 cattle, 522 sheep and 349 goat herds, randomly sampled. The frequency of abortive episodes potentially related to C. burnetii was estimated by investigating series of abortions in 2695 cattle, 658 sheep and 105 goat herds using quantitative polymerase chain reaction analyses and complementary serological results when needed.","Gache et al., 2017","doi:10.1017/S0950268817002308","AA"
"33","Within herd prevalence","Coxiella burnetii","Goats",NA,NA,NA,NA,"Survey","2012-2015",0.415,0.375,0.454,"A study was carried out, from 2012 to 2015, in 10 French départements to estimate the serological prevalence of Q fever and the frequency of abortive episodes potentially related to Coxiella burnetii in a large sample of cattle, sheep and goat herds. The serological survey covered 731 cattle, 522 sheep and 349 goat herds, randomly sampled. The frequency of abortive episodes potentially related to C. burnetii was estimated by investigating series of abortions in 2695 cattle, 658 sheep and 105 goat herds using quantitative polymerase chain reaction analyses and complementary serological results when needed.","Gache et al., 2017","doi:10.1017/S0950268817002308","AA"
"34","Within herd prevalence","Coxiella burnetii","Sheep",NA,NA,NA,NA,"Survey","2013-2014",0.378,NA,NA,"A total of 5083 animals (2210 cattle; 2873 sheep) belonging to 186 farms (92 herds; 94 flocks) were tested for the presence of antibodies against C. burnetii using a commercial enzyme-linked immunosorbent assay kit. The prevalence at the animal-level resulted three times higher in sheep compared to cattle (37.8% vs. 12.0%; χ2 = 270.10, P < 0.001). The prevalence at the herd-level was also higher in sheep than in cattle (87.2% vs. 68.5%; χ2 = 9.52, P < 0.01).","Barlozzari et al., 2020","doi:10.1017/S0950268819002115","AA"
"35","Within herd prevalence","Coxiella burnetii","Cattle",NA,NA,NA,NA,"Survey","2013-2014",0.12,NA,NA,"A total of 5083 animals (2210 cattle; 2873 sheep) belonging to 186 farms (92 herds; 94 flocks) were tested for the presence of antibodies against C. burnetii using a commercial enzyme-linked immunosorbent assay kit. The prevalence at the animal-level resulted three times higher in sheep compared to cattle (37.8% vs. 12.0%; χ2 = 270.10, P < 0.001). The prevalence at the herd-level was also higher in sheep than in cattle (87.2% vs. 68.5%; χ2 = 9.52, P < 0.01).","Barlozzari et al., 2020","doi:10.1017/S0950268819002115","AA"
"36",NA,"E. coli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Within herd prevalence","Hepatitis E","Pigs",NA,NA,NA,NA,"Survey","<2011",0.04,0.02,0.06,"The importance of the domestic pig reservoir for Hepatitis E virus (HEV) was assessed by estimating the seroprevalence and prevalence of HEV contaminated livers in French slaughter-aged pigs. 6565 sera and 3715 livers were randomly sampled from 186 pig farms throughout the country. The individual prevalence of HEV RNA positive livers was 4% (95% CI 2–6).","Rose et al., 2011","https://doi.org/10.1016/j.cimid.2011.07.003","AA"
"38","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"3-6 weeks","IgG","Survey","1998",0.222,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"39","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"3-6 weeks","IgM","Survey","1998",0.305,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"40","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"7-8 weeks","IgG","Survey","1998",0.132,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"41","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"7-8 weeks","IgM","Survey","1998",0.219,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"42","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"9-11 weeks","IgG","Survey","1998",0.351,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"43","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"9-11 weeks","IgM","Survey","1998",0.256,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"44","Within herd prevalence","Hepatitis E","Pigs",NA,NA,">=12 weeks","IgG","Survey","1998",0,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"45","Within herd prevalence","Hepatitis E","Pigs",NA,NA,">=12 weeks","IgM","Survey","1998",0,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"46","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"Gilts and Sows","IgG","Survey","1998",0.533,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"47","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"Gilts and Sows","IgM","Survey","1998",0.266,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"48","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"All ages","IgG","Survey","1998",0.321,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"49","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"All ages","IgM","Survey","1998",0.266,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"50","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"3-6 weeks","IgG","Survey","1999",0.791,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"51","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"3-6 weeks","IgM","Survey","1999",0.036,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"52","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"7-8 weeks","IgG","Survey","1999",0.636,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
"53","Within herd prevalence","Hepatitis E","Pigs",NA,NA,"7-8 weeks","IgM","Survey","1999",0.095,NA,NA,"A survey to detect antibodies against hepatitis E virus (HEV) was undertaken on 41 Spanish pig farms using an indirect enzyme-linked immunosorbent assay (ELISA). Forty of the farms (97.6%) were positive for anti-HEV IgG antibodies, while 34/41 (82.9%) had IgM positive animals. The highest proportion of IgG positive pigs comprised the adult sows (45/74, 60.8%; P = 0.01), followed by young piglets aged 3–6 weeks (79/218, 36.2%). IgM positive pigs were more frequently found to be those animals ⩾12 weeks of age (P < 0.001).","Seminati et al., 2008","https://doi.org/10.1016/j.tvjl.2006.11.018","AA"
