"","Parameter","Test Type","Pathogen","Host","Host type","Host breed","Host Age (group)","Host other characterics","study","Type of sample","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"16","Sensitivity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Oral fluid",0.52,0.448,0.592,"Here, we estimated and compared the diagnostic sensitivity and specificity of a novel indirect ELISA (iELISA) for African Swine Fever virus p30 antibody (Innoceleris LLC.) and the VetAlert™ African Swine Fever virus DNA Test Kit (qPCR, Tetracore Inc.) in field samples from Vietnam by assuming that disease status 1) is known and 2) is unknown using a BLCA model. In this cross-sectional study, 398 paired, individual swine serum/oral fluid (OF) samples were collected from 30 acutely African Swine Fever-affected farms, 37 chronically African Swine Fever-affected farms, and 20 African Swine Fever-unaffected farms in Vietnam. Samples were tested using both diagnostic assays. Diagnostic sensitivity was calculated assuming samples from African Swine Fever-affected farms were true positives and diagnostic sensitivity by assuming samples from unaffected farms were true negatives. ROC curves were plotted and AUC calculated for each test/sample combination. For comparison, a conditionally dependent, four test/sample combination, three population BLCA model was fit.","Schambow et al., 2023","https://doi.org/10.3389%2Ffvets.2023.1079918","AA"
"17","Specificity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum; oral fluid",0.99,NA,NA,"Here, we estimated and compared the diagnostic sensitivity and specificity of a novel indirect ELISA (iELISA) for African Swine Fever virus p30 antibody (Innoceleris LLC.) and the VetAlert™ African Swine Fever virus DNA Test Kit (qPCR, Tetracore Inc.) in field samples from Vietnam by assuming that disease status 1) is known and 2) is unknown using a BLCA model. In this cross-sectional study, 398 paired, individual swine serum/oral fluid (OF) samples were collected from 30 acutely African Swine Fever-affected farms, 37 chronically African Swine Fever-affected farms, and 20 African Swine Fever-unaffected farms in Vietnam. Samples were tested using both diagnostic assays. Diagnostic sensitivity was calculated assuming samples from African Swine Fever-affected farms were true positives and diagnostic sensitivity by assuming samples from unaffected farms were true negatives. ROC curves were plotted and AUC calculated for each test/sample combination. For comparison, a conditionally dependent, four test/sample combination, three population BLCA model was fit.","Schambow et al., 2023","https://doi.org/10.3389%2Ffvets.2023.1079918","AA"
"18","Sensitivity","ELISA Ab","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Blood; bone; organs",0.931,83.3,98.1,"In this study, we further evaluated the use of dry blood swabs for the detection of African Swine FeverV antibody and genome with samples from animal trials and diagnostic submissions (blood, bone and organs) from Estonia. Compared to serum samples, dried blood swabs yielded 93.1% (95% confidence interval: [83.3, 98.1]) sensitivity and 100% [95.9, 100.0] specificity in a commercial African Swine FeverV antibody ELISA. Similarly, the swabs gave a sensitivity of 98.9% [93.4, 100.0] and a specificity of 98.1% [90.1, 100.0] for genome detection by a standard African Swine FeverV p72 qPCR when compared to EDTA blood. The same swabs were tested in a VP72-antibody lateral flow device, with a sensitivity of 94.7% [85.4, 98.9] and specificity of 96.1% [89.0, 99.2] compared to the serum ELISA. When GenoTube samples tested in ELISA and LFD were compared, the sensitivity was 96.3% [87.3, 99.5] and the specificity was 93.8% [86.0, 97.9].","Carlson et al., 2017","https://doi.org/10.1111/tbed.12706","AA"
"19","Specificity","ELISA Ab","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Blood; bone; organs",1,95.9,100,"In this study, we further evaluated the use of dry blood swabs for the detection of African Swine FeverV antibody and genome with samples from animal trials and diagnostic submissions (blood, bone and organs) from Estonia. Compared to serum samples, dried blood swabs yielded 93.1% (95% confidence interval: [83.3, 98.1]) sensitivity and 100% [95.9, 100.0] specificity in a commercial African Swine FeverV antibody ELISA. Similarly, the swabs gave a sensitivity of 98.9% [93.4, 100.0] and a specificity of 98.1% [90.1, 100.0] for genome detection by a standard African Swine FeverV p72 qPCR when compared to EDTA blood. The same swabs were tested in a VP72-antibody lateral flow device, with a sensitivity of 94.7% [85.4, 98.9] and specificity of 96.1% [89.0, 99.2] compared to the serum ELISA. When GenoTube samples tested in ELISA and LFD were compared, the sensitivity was 96.3% [87.3, 99.5] and the specificity was 93.8% [86.0, 97.9].","Carlson et al., 2017","https://doi.org/10.1111/tbed.12706","AA"
"20","Sensitivity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Blood; bone; organs",0.989,93.4,100,"In this study, we further evaluated the use of dry blood swabs for the detection of African Swine FeverV antibody and genome with samples from animal trials and diagnostic submissions (blood, bone and organs) from Estonia. Compared to serum samples, dried blood swabs yielded 93.1% (95% confidence interval: [83.3, 98.1]) sensitivity and 100% [95.9, 100.0] specificity in a commercial African Swine FeverV antibody ELISA. Similarly, the swabs gave a sensitivity of 98.9% [93.4, 100.0] and a specificity of 98.1% [90.1, 100.0] for genome detection by a standard African Swine FeverV p72 qPCR when compared to EDTA blood. The same swabs were tested in a VP72-antibody lateral flow device, with a sensitivity of 94.7% [85.4, 98.9] and specificity of 96.1% [89.0, 99.2] compared to the serum ELISA. When GenoTube samples tested in ELISA and LFD were compared, the sensitivity was 96.3% [87.3, 99.5] and the specificity was 93.8% [86.0, 97.9].","Carlson et al., 2017","https://doi.org/10.1111/tbed.12706","AA"
"21","Specificity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Blood; bone; organs",0.981,90.1,100,"In this study, we further evaluated the use of dry blood swabs for the detection of African Swine FeverV antibody and genome with samples from animal trials and diagnostic submissions (blood, bone and organs) from Estonia. Compared to serum samples, dried blood swabs yielded 93.1% (95% confidence interval: [83.3, 98.1]) sensitivity and 100% [95.9, 100.0] specificity in a commercial African Swine FeverV antibody ELISA. Similarly, the swabs gave a sensitivity of 98.9% [93.4, 100.0] and a specificity of 98.1% [90.1, 100.0] for genome detection by a standard African Swine FeverV p72 qPCR when compared to EDTA blood. The same swabs were tested in a VP72-antibody lateral flow device, with a sensitivity of 94.7% [85.4, 98.9] and specificity of 96.1% [89.0, 99.2] compared to the serum ELISA. When GenoTube samples tested in ELISA and LFD were compared, the sensitivity was 96.3% [87.3, 99.5] and the specificity was 93.8% [86.0, 97.9].","Carlson et al., 2017","https://doi.org/10.1111/tbed.12706","AA"
"22","Sensitivity","Lateral Flow Assay","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Blood; bone; organs",0.947,85.4,98.9,"In this study, we further evaluated the use of dry blood swabs for the detection of African Swine FeverV antibody and genome with samples from animal trials and diagnostic submissions (blood, bone and organs) from Estonia. Compared to serum samples, dried blood swabs yielded 93.1% (95% confidence interval: [83.3, 98.1]) sensitivity and 100% [95.9, 100.0] specificity in a commercial African Swine FeverV antibody ELISA. Similarly, the swabs gave a sensitivity of 98.9% [93.4, 100.0] and a specificity of 98.1% [90.1, 100.0] for genome detection by a standard African Swine FeverV p72 qPCR when compared to EDTA blood. The same swabs were tested in a VP72-antibody lateral flow device, with a sensitivity of 94.7% [85.4, 98.9] and specificity of 96.1% [89.0, 99.2] compared to the serum ELISA. When GenoTube samples tested in ELISA and LFD were compared, the sensitivity was 96.3% [87.3, 99.5] and the specificity was 93.8% [86.0, 97.9].","Carlson et al., 2017","https://doi.org/10.1111/tbed.12706","AA"
"23","Specificity","Lateral Flow Assay","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Blood; bone; organs",0.961,89,99.2,"In this study, we further evaluated the use of dry blood swabs for the detection of African Swine FeverV antibody and genome with samples from animal trials and diagnostic submissions (blood, bone and organs) from Estonia. Compared to serum samples, dried blood swabs yielded 93.1% (95% confidence interval: [83.3, 98.1]) sensitivity and 100% [95.9, 100.0] specificity in a commercial African Swine FeverV antibody ELISA. Similarly, the swabs gave a sensitivity of 98.9% [93.4, 100.0] and a specificity of 98.1% [90.1, 100.0] for genome detection by a standard African Swine FeverV p72 qPCR when compared to EDTA blood. The same swabs were tested in a VP72-antibody lateral flow device, with a sensitivity of 94.7% [85.4, 98.9] and specificity of 96.1% [89.0, 99.2] compared to the serum ELISA. When GenoTube samples tested in ELISA and LFD were compared, the sensitivity was 96.3% [87.3, 99.5] and the specificity was 93.8% [86.0, 97.9].","Carlson et al., 2017","https://doi.org/10.1111/tbed.12706","AA"
"24","Sensitivity","HI","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.988,0.96,1,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"25","Specificity","HI","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.995,0.984,1,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"26","Sensitivity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Commercial protocol",1,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","Laconi et al., 2020","https://doi.org/10.1038%2Fs41598-020-64003-6","AA"
"27","Specificity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Commercial protocol",1,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","Laconi et al., 2020","https://doi.org/10.1038%2Fs41598-020-64003-6","AA"
"28","Sensitivity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",0.8987,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","Laconi et al., 2020","https://doi.org/10.1038%2Fs41598-020-64003-6","AA"
"29","Sensitivity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",0.9747,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","Laconi et al., 2020","https://doi.org/10.1038%2Fs41598-020-64003-6","AA"
"30","Sensitivity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",0.9873,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","Laconi et al., 2020","https://doi.org/10.1038%2Fs41598-020-64003-6","AA"
"31","Sensitivity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",0.9241,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","Laconi et al., 2020","https://doi.org/10.1038%2Fs41598-020-64003-6","AA"
"32","Specificity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",1,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","Laconi et al., 2020","https://doi.org/10.1038%2Fs41598-020-64003-6","AA"
"33","Specificity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",1,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","Laconi et al., 2020","https://doi.org/10.1038%2Fs41598-020-64003-6","AA"
"34","Specificity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",1,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","Laconi et al., 2020","https://doi.org/10.1038%2Fs41598-020-64003-6","AA"
"35","Specificity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",1,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","Laconi et al., 2020","https://doi.org/10.1038%2Fs41598-020-64003-6","AA"
"36","Sensitivity","ELISA Ab","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative",NA,0.97,NA,NA,"Sera (n = 1055) from 74 commercial chicken flocks were tested by both methods. A Bayesian approach served to estimate diagnostic test sensitivities and specificities, without assuming any ‘gold standard’. Sensitivity and specificity of the ELISA was 97% and 99.8%, and for H5/H7 HI 43% and 99.8%, respectively, although H5/H7 HI sensitivity varied considerably between infected flocks. ELISA therefore provides superior sensitivity for the screening of chicken flocks as part of an algorithm, which subsequently utilises H5/H7 HI to identify infection by these two subtypes. With the calculated sensitivity and specificity, testing nine sera per flock is sufficient to detect a flock seroprevalence of 30% with 95% probability.","Arnold et al., 2018","https://doi.org/10.1017%2FS0950268817002898","AA"
"37","Specificity","ELISA Ab","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative",NA,0.998,NA,NA,"Sera (n = 1055) from 74 commercial chicken flocks were tested by both methods. A Bayesian approach served to estimate diagnostic test sensitivities and specificities, without assuming any ‘gold standard’. Sensitivity and specificity of the ELISA was 97% and 99.8%, and for H5/H7 HI 43% and 99.8%, respectively, although H5/H7 HI sensitivity varied considerably between infected flocks. ELISA therefore provides superior sensitivity for the screening of chicken flocks as part of an algorithm, which subsequently utilises H5/H7 HI to identify infection by these two subtypes. With the calculated sensitivity and specificity, testing nine sera per flock is sufficient to detect a flock seroprevalence of 30% with 95% probability.","Arnold et al., 2018","https://doi.org/10.1017%2FS0950268817002898","AA"
"38","Sensitivity","ELISA Ab","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.993,0.98,1,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"39","Sensitivity","ELISA Ab","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.993,0.979,1,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"40","Sensitivity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.708,0.628,0.78,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"41","Sensitivity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.707,0.627,0.78,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"42","Sensitivity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.968,0.916,0.993,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
