"parameter","if_other","unit","scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","inoculated_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref_short","year","ref","filled_by"
"Shape",NA,"Shape (kE)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,19.9,5.5,39.7,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Shape (kE)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,22.5,6.7,43,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Shape (kE)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,17.8,4.7,37.6,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Shape (kE)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,22,6.8,42.6,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Shape (kE)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,19.9,5.5,41.2,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Shape (kE)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,29.8,11.2,51.5,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Shape (kE)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,28.1,11.3,50,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Shape (kE)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,18.9,4.8,40.5,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Infectious period shape (kI)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,22,6.3,45,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Infectious period shape (kI)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,20.3,5.4,41.5,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Infectious period shape (kI)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,22.2,6.2,44.5,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Infectious period shape (kI)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,20,4.7,43.6,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Infectious period shape (kI)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,21.5,5.9,43.5,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Infectious period shape (kI)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,21.1,5.3,43.5,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Infectious period shape (kI)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,23.4,7.9,46.9,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Infectious period shape (kI)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,24.8,9,47.8,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Infectious period shape (kI)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,20.3,4.8,43.6,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Latent period",NA,NA,NA,"Review","African Swine Fever","Genotype I","Pigs",NA,NA,NA,NA,NA,NA,3.57,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Loi, et al. 2020",2020,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Latent period",NA,NA,NA,"Review","African Swine Fever","Malta 1978","Pigs",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Ferreira et al., 2013",2013,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Latent period",NA,NA,NA,"Review","African Swine Fever","Netherlands 1986","Pigs",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Ferreira et al., 2013",2013,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Latent period",NA,NA,NA,"Review","African Swine Fever","Georgia 2007/1","Pigs",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Ferreira et al., 2013",2013,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Latent period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2016",2016,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Shape","gamma",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,4.5,10,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Hu et al., 2017",2017,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Shape","gamma",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Hu et al., 2017",2017,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Latent period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Nielsen et al., 2016",2016,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Shape","gamma",NA,NA,"Review","African Swine Fever","Armenia 2008","Pigs",NA,NA,NA,NA,NA,NA,NA,6.25,10,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2018",2018,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Shape","gamma",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,19.39,5,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2018",2018,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Latent period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Pietschmann et al., 2015",2015,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever","Genotype I","Pigs",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Loi, et al. 2020",2020,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever","Genotype I","Pigs",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Loi, et al. 2020",2020,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Ferreira et al., 2013",2013,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever","Malta 1978","Pigs",NA,NA,NA,NA,NA,NA,33.6,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Ferreira et al., 2013",2013,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Ferreira et al., 2013",2013,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever","Netherlands 1986","Pigs",NA,NA,NA,NA,NA,NA,19.9,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Ferreira et al., 2013",2013,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2016",2016,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever","Georgia 2007/1","Pigs",NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2016",2016,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Shape","gamma",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,10,6,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Hu et al., 2017",2017,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Shape","gamma",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,19.3,2,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Hu et al., 2017",2017,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Nielsen et al., 2016",2016,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Shape","gamma",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2016",2016,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Shape","gamma",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2016",2016,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Shape","gamma",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,19,3.2,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Hu et al., 2017",2017,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Gulenkin et al., 2011",2011,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Gulenkin et al., 2011",2011,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Shape","gamma",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,9.12,10,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2018",2018,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Shape","gamma",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,NA,22.2,5,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Guinat et al., 2018",2018,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Pietschmann et al., 2015",2015,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever","Armenia 2008","Pigs",NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Pietschmann et al., 2015",2015,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever","Genotype IX","Pigs",NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Parameters extracted from Hayes et al., 2021 systemetic review of African Swine Fever models","Barongo et al., 2015",2015,"https://doi.org/10.1016/j.prevetmed.2021.105358","AA"
"Latent period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H5N2","Turkeys",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","Ssematimba et al., 2019",2019,"https://doi.org/10.1017/S0950268819000633","AA/SL"
"Latent period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H5N1 (A/duck/France/05066b/2005)","Ducks","SPF Muscovy ducks",NA,"Three weeks",NA,"Contact",NA,1.73,NA,NA,"Frequentist","Inferred","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Niqueux et al., 2014",2014,"https://doi.org/10.1016/j.vetmic.2013.10.020","AA/SL"
"Latent period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H5N2 (A/chicken/France/03426/2003)","Ducks","SPF Muscovy ducks",NA,"Three weeks",NA,"Contact",NA,2.267,NA,NA,"Frequentist","Inferred","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Niqueux et al., 2014",2014,"https://doi.org/10.1016/j.vetmic.2013.10.020","AA/SL"
"Latent period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H5N3 (A/mallard/France/061054/2006)","Ducks","SPF Muscovy ducks",NA,"Three weeks",NA,"Contact",NA,2.4,NA,NA,"Frequentist","Inferred","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Niqueux et al., 2014",2014,"https://doi.org/10.1016/j.vetmic.2013.10.020","AA/SL"
"Latent period",NA,"days","Individual bird","Experimental","Avian Influenza","HPAI H7N1 (A/ostrich/Italy/984/00)","Turkeys",NA,NA,"Three weeks",NA,NA,NA,1,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Saenz et al., 2012",2012,"https://doi.org/10.1371/journal.pone.0045059","AA/SL"
"Latent period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H7N1 (A/chicken/Italy/1279/99)","Turkeys",NA,NA,"Three weeks",NA,NA,NA,1,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Saenz et al., 2012",2012,"https://doi.org/10.1371/journal.pone.0045059","AA/SL"
"Latent period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H5N2 (A/TK/IT/80), H7N3 (A/TK/IT/8000/02)","Turkeys",NA,NA,NA,NA,NA,NA,2.9,2.4,3.4,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Comin et al., 2011",2011,"https://doi.org/10.1371/journal.pone.0026935","AA/SL"
"Latent period",NA,"days","Individual bird","Experimental","Avian Influenza","LPAI H5N2 (A/TK/IT/80), H7N3 (A/TK/IT/8000/02)","Turkeys",NA,NA,NA,NA,NA,NA,8.6,3.8,33.8,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Comin et al., 2011",2011,"https://doi.org/10.1371/journal.pone.0026935","AA/SL"
"Latent period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H7N7","Chickens, Turkeys","Chicken layers, Chicken breeders, Turkeys",NA,NA,NA,NA,NA,0,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Bos et al., 2009",2009,"https://doi.org/10.1016/j.prevetmed.2008.12.003","AA/SL"
"Latent period",NA,"days","Individual bird","Field","Avian Influenza","HPAI H7N7","Chickens, Turkeys",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Bos et al., 2010",2010,"https://doi.org/10.1016/j.prevetmed.2010.04.006","AA/SL"
"Latent period",NA,"days","Subdistrict","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Assumed","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","Marquetoux et al., 2012",2012,"https://doi.org/10.1016/j.prevetmed.2012.01.021","AA/SL"
