"parameter","test_type","pathogen","host","host_type","host_breed","host_age","host_other","study_type","sample_type","value","lower_cl","upper_cl","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Specificity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Blood; bone; organs",0.981,90.1,100,"In this study, we further evaluated the use of dry blood swabs for the detection of African Swine FeverV antibody and genome with samples from animal trials and diagnostic submissions (blood, bone and organs) from Estonia. Compared to serum samples, dried blood swabs yielded 93.1% (95% confidence interval: [83.3, 98.1]) sensitivity and 100% [95.9, 100.0] specificity in a commercial African Swine FeverV antibody ELISA. Similarly, the swabs gave a sensitivity of 98.9% [93.4, 100.0] and a specificity of 98.1% [90.1, 100.0] for genome detection by a standard African Swine FeverV p72 qPCR when compared to EDTA blood. The same swabs were tested in a VP72-antibody lateral flow device, with a sensitivity of 94.7% [85.4, 98.9] and specificity of 96.1% [89.0, 99.2] compared to the serum ELISA. When GenoTube samples tested in ELISA and LFD were compared, the sensitivity was 96.3% [87.3, 99.5] and the specificity was 93.8% [86.0, 97.9].","10.1111/tbed.12706","doi_invalid",2026-06-25,"Carlson et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,0.981,"DiagnosticTest","DiagnosticTest*21"
"Sensitivity","Lateral Flow Assay","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Blood; bone; organs",0.947,85.4,98.9,"In this study, we further evaluated the use of dry blood swabs for the detection of African Swine FeverV antibody and genome with samples from animal trials and diagnostic submissions (blood, bone and organs) from Estonia. Compared to serum samples, dried blood swabs yielded 93.1% (95% confidence interval: [83.3, 98.1]) sensitivity and 100% [95.9, 100.0] specificity in a commercial African Swine FeverV antibody ELISA. Similarly, the swabs gave a sensitivity of 98.9% [93.4, 100.0] and a specificity of 98.1% [90.1, 100.0] for genome detection by a standard African Swine FeverV p72 qPCR when compared to EDTA blood. The same swabs were tested in a VP72-antibody lateral flow device, with a sensitivity of 94.7% [85.4, 98.9] and specificity of 96.1% [89.0, 99.2] compared to the serum ELISA. When GenoTube samples tested in ELISA and LFD were compared, the sensitivity was 96.3% [87.3, 99.5] and the specificity was 93.8% [86.0, 97.9].","10.1111/tbed.12706","doi_invalid",2026-06-25,"Carlson et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,0.947,"DiagnosticTest","DiagnosticTest*22"
"Specificity","Lateral Flow Assay","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Blood; bone; organs",0.961,89,99.2,"In this study, we further evaluated the use of dry blood swabs for the detection of African Swine FeverV antibody and genome with samples from animal trials and diagnostic submissions (blood, bone and organs) from Estonia. Compared to serum samples, dried blood swabs yielded 93.1% (95% confidence interval: [83.3, 98.1]) sensitivity and 100% [95.9, 100.0] specificity in a commercial African Swine FeverV antibody ELISA. Similarly, the swabs gave a sensitivity of 98.9% [93.4, 100.0] and a specificity of 98.1% [90.1, 100.0] for genome detection by a standard African Swine FeverV p72 qPCR when compared to EDTA blood. The same swabs were tested in a VP72-antibody lateral flow device, with a sensitivity of 94.7% [85.4, 98.9] and specificity of 96.1% [89.0, 99.2] compared to the serum ELISA. When GenoTube samples tested in ELISA and LFD were compared, the sensitivity was 96.3% [87.3, 99.5] and the specificity was 93.8% [86.0, 97.9].","10.1111/tbed.12706","doi_invalid",2026-06-25,"Carlson et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,0.961,"DiagnosticTest","DiagnosticTest*23"
"Sensitivity","HI","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.988,0.96,1,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.988,"DiagnosticTest","DiagnosticTest*24"
"Specificity","HI","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.995,0.984,1,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.995,"DiagnosticTest","DiagnosticTest*25"
"Sensitivity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Commercial protocol",1,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","10.1038/s41598-020-64003-6","doi_invalid",2026-06-25,"Laconi et al., 2020",2020,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*26"
"Specificity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Commercial protocol",1,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","10.1038/s41598-020-64003-6","doi_invalid",2026-06-25,"Laconi et al., 2020",2020,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*27"
"Sensitivity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",0.8987,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","10.1038/s41598-020-64003-6","doi_invalid",2026-06-25,"Laconi et al., 2020",2020,"Alistair Antonopoulos",2025-08-28,0.8987,"DiagnosticTest","DiagnosticTest*28"
"Sensitivity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",0.9747,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","10.1038/s41598-020-64003-6","doi_invalid",2026-06-25,"Laconi et al., 2020",2020,"Alistair Antonopoulos",2025-08-28,0.9747,"DiagnosticTest","DiagnosticTest*29"
"Sensitivity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",0.9873,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","10.1038/s41598-020-64003-6","doi_invalid",2026-06-25,"Laconi et al., 2020",2020,"Alistair Antonopoulos",2025-08-28,0.9873,"DiagnosticTest","DiagnosticTest*30"
"Sensitivity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",0.9241,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","10.1038/s41598-020-64003-6","doi_invalid",2026-06-25,"Laconi et al., 2020",2020,"Alistair Antonopoulos",2025-08-28,0.9241,"DiagnosticTest","DiagnosticTest*31"
"Specificity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",1,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","10.1038/s41598-020-64003-6","doi_invalid",2026-06-25,"Laconi et al., 2020",2020,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*32"
"Specificity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",1,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","10.1038/s41598-020-64003-6","doi_invalid",2026-06-25,"Laconi et al., 2020",2020,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*33"
