"Type","Table","Term","Explanation"
"Filled in by:",NA,"NC","Natalia Ciria <natalia.ciria@uab.cat>"
"Filled in by:",NA,"SL","Sebastien Lambert <sebastien.lambert@envt.fr>"
"Filled in by:",NA,"TV","Timothee Vergne <timothee.vergne@envt.fr>"
"Parameter","RegionalPrevalence","Herd prevalence",NA
"Parameter","RegionalPrevalence","Other",NA
"Sampling purpose","RegionalPrevalence","Study",NA
"Sampling purpose","RegionalPrevalence","Control plan",NA
"Regional Information level","RegionalPrevalence","Only Country level","GADM GID_0"
"Regional Information level","RegionalPrevalence","First-Level","GADM GID_1 see https://en.wikipedia.org/wiki/List_of_administrative_divisions_by_country"
"Regional Information level","RegionalPrevalence","Second-Level","GADM GID_2 see https://en.wikipedia.org/wiki/List_of_administrative_divisions_by_country"
"Regional Information level","RegionalPrevalence","Third-Level","GADM GID_2 see https://en.wikipedia.org/wiki/List_of_administrative_divisions_by_country"
"Control pogrammen in place","ControlPlan","Yes",NA
"Control pogrammen in place","ControlPlan","No",NA
"Type of programme","ControlPlan","Voluntary",NA
"Type of programme","ControlPlan","Compulsory",NA
"Country status for the disease","ControlPlan","Endemic",NA
"Country status for the disease","ControlPlan","Sporadic",NA
"Country status for the disease","ControlPlan","Officially free",NA
"Country status for the disease","ControlPlan","Perceived free",NA
"Control plan type","ControlPlan","Control",NA
"Control plan type","ControlPlan","Erradication",NA
"Pathogen",NA,"African Swine Fever",NA
"Pathogen",NA,"Avian Influenza",NA
"Pathogen",NA,"Bluetongue",NA
"Pathogen",NA,"Bovine Tuberculosis",NA
"Pathogen",NA,"Bovine Viral Diarrhoea Virus",NA
"Pathogen",NA,"Bovine Respiratory Syncytial Virus",NA
"Pathogen",NA,"Campylobacter",NA
"Pathogen",NA,"Classical Swine Fever",NA
"Pathogen",NA,"Contagious agalactia",NA
"Pathogen",NA,"Coxiella burnetii",NA
"Pathogen",NA,"E. coli",NA
"Pathogen",NA,"Campylobacter",NA
"Pathogen",NA,"Enterococci",NA
"Pathogen",NA,"Foot and Mouth Disease",NA
"Pathogen",NA,"Hepatitis E",NA
"Pathogen",NA,"Infectious Bovine Rhinotracheitis",NA
"Pathogen",NA,"Infectious Bovine Rhinotracheitis",NA
"Pathogen",NA,"Paratuberculosis",NA
"Pathogen",NA,"Pathogen",NA
"Pathogen",NA,"Peste des Petits Ruminants",NA
"Pathogen",NA,"Peste des Petits Ruminants",NA
"Pathogen",NA,"PRRS",NA
"Pathogen",NA,"Bovine Respiratory Syncytial Virus",NA
"Pathogen",NA,"Salmonella",NA
"Pathogen",NA,"Swine Influenza",NA
"Country",NA,"Austria",NA
"Country",NA,"Belgium",NA
"Country",NA,"Bulgaria",NA
"Country",NA,"Croatia",NA
"Country",NA,"Cyprus",NA
"Country",NA,"Czech Republic",NA
"Country",NA,"Denmark",NA
"Country",NA,"Estonia",NA
"Country",NA,"Finland",NA
"Country",NA,"France",NA
"Country",NA,"Germany",NA
"Country",NA,"Greece",NA
"Country",NA,"Hungary",NA
"Country",NA,"Ireland",NA
"Country",NA,"Italy",NA
"Country",NA,"Latvia",NA
"Country",NA,"Lithuania",NA
"Country",NA,"Luxembourg",NA
"Country",NA,"Malta",NA
"Country",NA,"Netherlands",NA
"Country",NA,"Poland",NA
"Country",NA,"Portugal",NA
"Country",NA,"Romania",NA
"Country",NA,"Slovakia",NA
"Country",NA,"Slovenia",NA
"Country",NA,"Spain",NA
"Country",NA,"Sweden",NA
